norm,cooperation,fairness
185,0.08530207999999996,0.6824339090364073
186,0.08581799999999998,0.698867661332548
187,0.08630631999999999,0.6476031013100392
188,0.08599896000000004,0.7087964984812538
189,0.08837048000000002,0.7318414767464564
190,0.08903216,0.6447120467836556
191,0.09052136000000001,0.6268402031436762
192,0.11758000000000003,0.9169401164519314
193,0.5315535200000001,0.6091233184689077
194,0.7176593600000001,0.7272747871796921
195,0.652402,0.9094179957676726
196,0.13102232,0.9070814157854157
197,0.44780752,0.6417194472574717
198,0.5757895999999999,0.48563834409712603
199,0.65938704,0.7301558582096959
200,0.08847528,0.7877320989917371
201,0.08795488000000001,0.716052557246667
202,0.40642888,0.648395490859383
203,0.49854792,0.5976332046969728
204,0.08687248,0.7282030191327818
205,0.08914064000000002,0.7830570163928441
206,0.13082424,0.91103308885438
207,0.11857544,0.9151739522116906
208,0.45634351999999995,0.5023206001193986
209,0.47956816,0.5956717426019541
210,0.59856424,0.5411141494786851
211,0.6097498399999999,0.5414988931587128
212,0.4236302400000001,0.7830659612170815
213,0.42171815999999995,0.6184966816199191
214,0.6008206400000001,0.3766145035585831
215,0.455294,0.4655454919287388
216,0.09086752,0.7558283384036625
217,0.08747120000000001,0.728882520318379
218,0.39688759999999995,0.25632834666427246
219,0.18141999999999997,0.5615944905589736
220,0.08594144,0.742565724654255
221,0.08572695999999996,0.7903851903389777
222,0.11673736000000001,0.8475933552491736
223,0.10149248,0.9106897237257618
224,0.10572832,0.7267396730265958
225,0.09483911999999999,0.7402336888382092
226,0.16061095999999997,0.755812223987247
227,0.13182168,0.7474735212171383
228,0.09783535999999998,0.7253548834549116
229,0.09296088000000001,0.7715647441323081
230,0.10458008000000002,0.7306814586111766
231,0.08881928,0.7776118027862453
232,0.08833176000000004,0.6965528358688572
233,0.08581432,0.6946435753296492
234,0.08767807999999999,0.7024041727850816
235,0.08771736,0.6424603373714781
236,0.08467183999999998,0.7361754208407656
237,0.08493880000000001,0.7628744570727136
238,0.08421903999999998,0.7557382392853543
239,0.08454911999999998,0.7586388563949508
240,0.09962072000000002,0.7119489220322133
241,0.09292167999999998,0.7365990381583286
242,0.10766687999999998,0.7406719416243978
243,0.09035864000000002,0.7406442682408442
244,0.09636760000000001,0.7198604672633908
245,0.09144352,0.7766573181285064
246,0.0974784,0.7342394288593979
247,0.09291992,0.784201817631794
248,0.08696024000000001,0.7229266530074712
249,0.08570064000000001,0.7289202751578692
250,0.08679688000000002,0.7514277884535919
251,0.086276,0.7345433298269626
252,0.08377647999999999,0.7366377318237329
253,0.08345407999999999,0.7683790646018998
254,0.083864,0.7662041182616223
255,0.08400712000000002,0.7714480005785819
