seed,norm,cooperation,fairness
18,8,0.08262,0.7232994891959099
19,8,0.081768,0.7041556991305734
20,8,0.0823,0.779196115197846
21,8,0.081796,0.8619094446559236
22,8,0.086452,0.7894305555555556
23,8,0.084372,0.8392808867261422
24,8,0.082124,0.7367867991887155
25,8,0.087084,0.8142119082700516
26,8,0.085328,0.7922513010172874
27,8,0.082552,0.8039777905871108
28,8,0.081296,0.8017117049679368
29,8,0.086536,0.7804611122558783
30,8,0.083336,0.825164279864981
31,8,0.082048,0.7181591536958426
32,8,0.083348,0.7477924338188147
33,8,0.0851,0.7586762969019715
34,8,0.080064,0.7378158547044796
35,8,0.081792,0.834111465507943
36,8,0.079456,0.7962937584699954
37,8,0.088376,0.750858302122347
38,8,0.081508,0.7975217257746465
39,8,0.08604,0.8654620297224492
40,8,0.082648,0.782187635105923
41,8,0.080236,0.8319985790482758
42,8,0.082496,0.7915104478192577
43,8,0.084892,0.7597904441435156
44,8,0.08374,0.7244506530078272
45,8,0.0805,0.780164353902175
46,8,0.082104,0.703186504630548
47,8,0.085584,0.7678996115379173
48,8,0.082252,0.7586545601518955
49,8,0.083536,0.7845060087104859
50,8,0.083164,0.7641520024697595
1,9,0.085136,0.782799010686453
2,9,0.085316,0.7664088428097314
3,9,0.087336,0.7081452019728257
4,9,0.086996,0.7447443902268396
5,9,0.081692,0.7017769640361584
6,9,0.085184,0.7443560697356792
7,9,0.089476,0.7767590166970971
8,9,0.08582,0.7549177901563466
9,9,0.088176,0.6874398760288998
10,9,0.085252,0.7186728094651007
11,9,0.086568,0.7123735355918301
12,9,0.08506,0.7511116517320142
13,9,0.085016,0.6892654658047239
14,9,0.088536,0.7180018646155896
15,9,0.086568,0.7160243752255983
16,9,0.081996,0.7057448362887693
17,9,0.084684,0.7332296402648161
18,9,0.084164,0.6922871324933181
19,9,0.084088,0.6654394411403757
20,9,0.08558,0.7270538971157948
21,9,0.086924,0.724054146383124
22,9,0.088508,0.7366341860039419
23,9,0.088708,0.6941539578794481
24,9,0.084928,0.7175840998486485
25,9,0.087176,0.7692411267302203
26,9,0.087628,0.7559777469929855
27,9,0.084848,0.8580043859649122
28,9,0.084084,0.7468888888888888
29,9,0.088748,0.8228031036466446
30,9,0.085804,0.7447037701974865
31,9,0.085728,0.714021714021714
32,9,0.08648,0.7367985288606513
33,9,0.087624,0.7183474273213009
34,9,0.08252,0.734242109672367
35,9,0.086752,0.79679243878842
36,9,0.08302,0.7989165119870606
37,9,0.087988,0.744170976061796
38,9,0.08044,0.7629706900798308
39,9,0.088036,0.7664057343097254
40,9,0.086392,0.7316390059483551
41,9,0.084124,0.7187105429292929
42,9,0.082736,0.770822969816702
43,9,0.08664,0.7106507828110378
44,9,0.087756,0.6761076624365584
45,9,0.08252,0.706274680718993
46,9,0.082996,0.6687505742230241
47,9,0.08466,0.7564847077042198
48,9,0.085832,0.722759793952426
49,9,0.086096,0.7031124561292899
50,9,0.082532,0.7224780938016233
1,10,0.092684,0.7643233758164996
2,10,0.083852,0.7531999303665833
3,10,0.101052,0.7165327101442945
4,10,0.094036,0.7501506122183145
5,10,0.08312,0.7339134913857374
6,10,0.091748,0.7725426239121966
7,10,0.094668,0.8317972554227534
8,10,0.09062,0.828150912106136
9,10,0.091336,0.7025581330894376
10,10,0.079436,0.7281315884620622
11,10,0.085984,0.7801734066764334
12,10,0.095796,0.7827417609076996
13,10,0.095904,0.7366965267955367
14,10,0.0938,0.7217486701078121
15,10,0.089844,0.7910095411501146
16,10,0.089144,0.6966746005855796
17,10,0.085572,0.731896336577741
18,10,0.087404,0.7461270214899088
19,10,0.089076,0.7188616815540896
20,10,0.086796,0.8013016380268925
21,10,0.08348,0.8122585021974457
22,10,0.09066,0.7801590422510595
23,10,0.088784,0.8004663664033659
24,10,0.089376,0.6879733606720232
25,10,0.093648,0.8287146686648914
26,10,0.082688,0.8306227506719511
27,10,0.09892,0.8709395600031768
28,10,0.089344,0.8351691803649098
29,10,0.09032,0.8848749503771338
30,10,0.085624,0.7720840037958494
31,10,0.0895,0.7238392583194434
32,10,0.088808,0.8187376973656658
33,10,0.088616,0.7865024377726457
34,10,0.085328,0.7407718009131691
35,10,0.098656,0.7902520435137472
36,10,0.087648,0.7907286221892964
37,10,0.089084,0.7792658928468307
38,10,0.091756,0.7868728387812357
39,10,0.093444,0.7889466812217728
40,10,0.101968,0.7575592357845475
41,10,0.08002,0.7462215365275278
42,10,0.087724,0.8055834215757306
43,10,0.088392,0.7313272252085107
44,10,0.091736,0.7430734022785868
45,10,0.081836,0.7272007102369733
46,10,0.088072,0.7261388698760362
47,10,0.091024,0.7654344765010764
48,10,0.0866,0.7512669012370268
49,10,0.085264,0.7763529798169042
50,10,0.08636,0.7746688183218912
1,11,0.08284,0.7579979576706254
2,11,0.089172,0.6974558614325036
3,11,0.099408,0.6738293519191153
4,11,0.091228,0.6575778002471633
5,11,0.088004,0.692372929499509
6,11,0.092552,0.7927876309781146
7,11,0.095352,0.7730877019452688
8,11,0.092092,0.7414031449801279
9,11,0.093256,0.7156264775413711
10,11,0.08242,0.7213468720821663
11,11,0.084408,0.6941857901253413
12,11,0.103904,0.8010636263963511
13,11,0.094492,0.7437725424914655
14,11,0.095796,0.7591603377060697
15,11,0.090916,0.746878394758807
16,11,0.090968,0.6373995692035385
17,11,0.087956,0.709496442255063
18,11,0.085756,0.7594728245666279
19,11,0.087796,0.6701867210890811
20,11,0.098036,0.7347268237315172
21,11,0.103408,0.6943977067364616
22,11,0.091756,0.7238845208050217
23,11,0.09404,0.7428043327360486
