norm,run,cooperation,fairness,strategies
150,3,0.7878394,0.48045515104551684,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 9, 9, 9, 9, 9, 9, 5, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 5, 9, 9, 9, 5, 9, 9, 9, 5]"
150,4,0.8205182,0.5388728091240699,"[6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 6, 14, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 15, 6, 6, 6, 6, 6, 15, 6, 6, 15, 6, 6, 15, 6, 15, 6]"
150,5,0.7590296,0.2400906939072215,"[6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 2, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 13, 6, 7, 6, 6, 6, 2, 2, 6, 6]"
150,6,0.7488646,0.15354966431067038,"[2, 2, 2, 2, 2, 14, 8, 14, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 2, 2, 2, 2, 10, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
150,7,0.747744,0.1262118543049052,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 8]"
150,8,0.7792806,0.12191996589952052,"[10, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 8, 8, 8]"
150,9,0.7878252,0.17126151164047737,"[6, 6, 6, 11, 6, 6, 6, 14, 14, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 2, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6, 14, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 14, 6, 6]"
150,10,0.78842,0.18999425765845085,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 12, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 12, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
150,11,0.7886694,0.1895252089343131,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 15, 15, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
150,12,0.7838288,0.1901236470723141,"[8, 8, 8, 8, 8, 9, 9, 8, 9, 8, 9, 8, 8, 8, 9, 8, 8, 9, 8, 8, 9, 8, 9, 9, 8, 8, 9, 9, 13, 9, 9, 9, 8, 8, 13, 9, 8, 8, 9, 9, 8, 9, 8, 8, 8, 8, 8, 8, 9, 8]"
150,13,0.7862052,0.1359160916713571,"[9, 9, 8, 9, 11, 9, 9, 9, 9, 8, 9, 8, 9, 8, 8, 8, 9, 9, 8, 9, 8, 9, 11, 9, 8, 8, 8, 8, 8, 8, 9, 8, 9, 8, 9, 8, 9, 9, 9, 11, 8, 9, 9, 9, 8, 9, 8, 9, 9, 9]"
150,14,0.7899134,0.2200003573700218,"[9, 12, 9, 9, 9, 9, 12, 9, 9, 11, 9, 9, 9, 9, 11, 9, 11, 9, 9, 11, 9, 9, 12, 9, 11, 9, 9, 8, 9, 9, 11, 11, 11, 8, 11, 9, 9, 9, 9, 11, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9]"
150,15,0.7844438,0.1638275651793996,"[9, 9, 8, 9, 9, 8, 9, 8, 9, 8, 9, 10, 9, 8, 9, 8, 9, 8, 8, 8, 8, 8, 8, 9, 9, 9, 8, 8, 9, 8, 8, 8, 8, 9, 9, 14, 8, 9, 8, 8, 8, 9, 9, 9, 9, 9, 9, 8, 8, 8]"
150,16,0.7273256,0.19164746610105152,"[8, 9, 9, 9, 8, 8, 8, 8, 9, 9, 8, 9, 9, 9, 9, 8, 9, 1, 8, 9, 9, 8, 8, 9, 8, 8, 9, 9, 8, 8, 9, 9, 9, 8, 12, 9, 9, 9, 9, 9, 9, 9, 9, 8, 0, 8, 8, 9, 8, 9]"
150,17,0.7989822,0.24907697960510153,"[8, 8, 9, 8, 13, 9, 9, 14, 8, 8, 9, 14, 8, 9, 9, 9, 8, 9, 8, 9, 9, 8, 8, 10, 8, 8, 9, 9, 8, 8, 9, 8, 9, 8, 9, 8, 8, 13, 8, 8, 9, 8, 8, 8, 8, 13, 8, 9, 8, 8]"
